"ESTU","PROV","date","year_month","sex","age_group","sector_eu","sector_eu_without","education","indep","ideology","identity","income","work_sit_fact"
3226,8,2018-10-01,"2018-10",2,"25-29","Non-tradable sectors",NA,2,NA,NA,3,1,"Unemployed"
3226,8,2018-10-01,"2018-10",2,"60-64","Non-tradable sectors",NA,2,0,3,3,3,"Retired"
3226,8,2018-10-01,"2018-10",1,"75-79","Non-tradable sectors",NA,1,0,3,4,NA,"Retired"
3226,8,2018-10-01,"2018-10",1,"25-29","Import-oriented sectors","Import-oriented sectors",2,0,8,3,NA,"Currently working"
3226,8,2018-10-01,"2018-10",2,"35-39","Import-oriented sectors","Import-oriented sectors",3,0,NA,NA,NA,"Currently working"
3226,8,2018-10-01,"2018-10",2,"70-74","Non-tradable sectors",NA,NA,0,5,3,4,"Retired"
3226,8,2018-10-01,"2018-10",1,"35-39","Import-oriented sectors","Import-oriented sectors",2,NA,NA,3,NA,"Unemployed"
3226,8,2018-10-01,"2018-10",1,"55-59","Non-tradable sectors",NA,4,0,2,3,NA,"Currently working"
3226,8,2018-10-01,"2018-10",1,"30-34","Non-tradable sectors",NA,4,NA,NA,NA,3,"Unemployed"
3226,8,2018-10-01,"2018-10",2,"18-24","Non-tradable sectors",NA,3,1,1,NA,3,"Currently working"
3226,8,2018-10-01,"2018-10",1,"40-44","Non-tradable sectors",NA,5,1,2,5,6,"Currently working"
3226,8,2018-10-01,"2018-10",1,"50-54","Non-tradable sectors",NA,2,0,8,1,NA,"Currently working"
3226,8,2018-10-01,"2018-10",1,"55-59","Non-tradable sectors",NA,5,0,3,4,4,"Unemployed"
3226,8,2018-10-01,"2018-10",1,"70-74","Non-tradable sectors",NA,5,NA,4,3,NA,"Retired"
3226,8,2018-10-01,"2018-10",2,"65-69","Import-oriented sectors","Import-oriented sectors",4,0,4,1,NA,"Retired"
3226,8,2018-10-01,"2018-10",2,"35-39","Import-oriented sectors","Import-oriented sectors",5,0,5,4,NA,"Currently working"
3226,8,2018-10-01,"2018-10",1,"70-74","Non-tradable sectors",NA,5,0,4,2,7,"Retired"
3226,8,2018-10-01,"2018-10",2,"70-74","Non-tradable sectors",NA,1,NA,4,4,4,"Retired"
3226,8,2018-10-01,"2018-10",1,"35-39","Non-tradable sectors",NA,2,NA,NA,3,4,"Currently working"
3226,8,2018-10-01,"2018-10",2,"50-54","Non-tradable sectors",NA,4,NA,5,3,NA,"Currently working"
3226,8,2018-10-01,"2018-10",1,"40-44","Non-tradable sectors",NA,4,0,5,3,3,"Unemployed"
3226,8,2018-10-01,"2018-10",2,"80+","Import-oriented sectors","Import-oriented sectors",NA,0,6,3,5,"Retired"
3226,8,2018-10-01,"2018-10",1,"50-54","Non-tradable sectors",NA,3,0,5,NA,NA,"Currently working"
3226,8,2018-10-01,"2018-10",1,"55-59","Non-tradable sectors",NA,5,NA,1,5,NA,"Currently working"
3226,8,2018-10-01,"2018-10",2,"35-39","Non-tradable sectors",NA,3,0,8,3,4,"Currently working"
3226,8,2018-10-01,"2018-10",2,"60-64","Non-tradable sectors",NA,1,0,3,3,NA,"Currently working"
3226,8,2018-10-01,"2018-10",1,"40-44","Non-tradable sectors",NA,3,0,5,3,NA,"Currently working"
3226,8,2018-10-01,"2018-10",1,"35-39","Non-tradable sectors",NA,3,0,5,3,NA,"Currently working"
3226,8,2018-10-01,"2018-10",2,"50-54","Non-tradable sectors",NA,4,1,2,4,NA,"Currently working"
3226,8,2018-10-01,"2018-10",1,"30-34","Import-oriented sectors","Import-oriented sectors",5,1,5,4,NA,"Currently working"
3226,8,2018-10-01,"2018-10",2,"75-79","Import-oriented sectors","Import-oriented sectors",1,0,3,3,NA,"Retired"
3226,8,2018-10-01,"2018-10",2,"35-39","Import-oriented sectors","Import-oriented sectors",5,0,2,3,NA,"Currently working"
3226,8,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,3,NA,4,3,NA,"Currently working"
3226,8,2018-10-01,"2018-10",2,"60-64","Non-tradable sectors",NA,1,0,1,4,NA,"Retired"
3226,8,2018-10-01,"2018-10",1,"40-44","Import-oriented sectors","Import-oriented sectors",4,0,5,3,NA,"Currently working"
3226,8,2018-10-01,"2018-10",2,"75-79","Import-oriented sectors","Import-oriented sectors",1,0,3,3,NA,"Retired"
3226,8,2018-10-01,"2018-10",1,"50-54","Import-oriented sectors","Import-oriented sectors",4,0,4,3,NA,"Currently working"
3226,8,2018-10-01,"2018-10",1,"18-24","Non-tradable sectors",NA,3,0,2,3,1,NA
3226,8,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,3,0,5,3,NA,"Currently working"
3226,8,2018-10-01,"2018-10",1,"35-39","Non-tradable sectors",NA,3,0,3,3,NA,"Currently working"
3226,8,2018-10-01,"2018-10",2,"60-64","Non-tradable sectors",NA,1,0,2,3,NA,"Retired"
3226,8,2018-10-01,"2018-10",2,"70-74","Non-tradable sectors",NA,4,0,2,4,4,"Retired"
3226,8,2018-10-01,"2018-10",1,"50-54","Non-tradable sectors",NA,2,0,3,3,5,"Currently working"
3226,8,2018-10-01,"2018-10",1,"30-34","Import-oriented sectors","Import-oriented sectors",2,1,1,5,NA,"Currently working"
3226,8,2018-10-01,"2018-10",2,"30-34","Non-tradable sectors",NA,4,NA,5,3,6,"Currently working"
3226,8,2018-10-01,"2018-10",2,"18-24","Non-tradable sectors",NA,4,NA,NA,3,1,NA
3226,8,2018-10-01,"2018-10",1,"35-39","Non-tradable sectors",NA,3,0,4,3,5,"Currently working"
3226,8,2018-10-01,"2018-10",1,"18-24","Non-tradable sectors",NA,3,0,1,5,1,NA
3226,8,2018-10-01,"2018-10",1,"18-24","Non-tradable sectors",NA,3,1,3,4,5,"Currently working"
3226,8,2018-10-01,"2018-10",2,"18-24","Non-tradable sectors",NA,4,0,6,3,2,"Currently working"
